# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:04:50.618794
# Scan File: high_res_cell
# Grid: 25x25 (625 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 10
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance,EM9_Abundance,EM10_Abundance
1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.037860035896301270e-02,1.671796292066574097e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.046238183975219727e-01,2.587582170963287354e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.466495394706726074e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.509993970394134521e-02,6.668133139610290527e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399811506271362305e-01
1.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.827524930238723755e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.559551596641540527e-01,5.908116698265075684e-01,2.834158577024936676e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.880767762660980225e-02
2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.791599750518798828e-01,3.531913757324218750e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.190136611461639404e-02
2.100000000000000000e+01,2.000000000000000000e+00,7.411812897771596909e-03,0.000000000000000000e+00,1.258037332445383072e-02,0.000000000000000000e+00,5.726913809776306152e-01,3.272436559200286865e-01,1.602189056575298309e-02,3.600853681564331055e-02,0.000000000000000000e+00,3.339355811476707458e-02
2.200000000000000000e+01,2.000000000000000000e+00,3.447680966928601265e-03,0.000000000000000000e+00,1.344130723737180233e-03,0.000000000000000000e+00,4.535010457038879395e-01,4.768170118331909180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.233782857656478882e-02
2.300000000000000000e+01,2.000000000000000000e+00,2.312257699668407440e-02,0.000000000000000000e+00,9.807935915887355804e-03,0.000000000000000000e+00,5.026969313621520996e-01,4.572016000747680664e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.000000000000000000e+00,2.492317110300064087e-01,0.000000000000000000e+00,8.136576972901821136e-03,0.000000000000000000e+00,2.330160140991210938e-01,5.216487646102905273e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.689360082149505615e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.411706805229187012e-01,8.306215517222881317e-03,9.503818303346633911e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.831417344510555267e-02
1.000000000000000000e+00,3.000000000000000000e+00,8.998998999595642090e-01,0.000000000000000000e+00,5.613931920379400253e-03,0.000000000000000000e+00,1.023542657494544983e-01,0.000000000000000000e+00,6.530746351927518845e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.012534860521554947e-03
2.000000000000000000e+00,3.000000000000000000e+00,9.953471422195434570e-01,0.000000000000000000e+00,1.929255016148090363e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,9.592413306236267090e-01,0.000000000000000000e+00,3.544545918703079224e-02,0.000000000000000000e+00,7.874961942434310913e-03,2.845120802521705627e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.012041561305522919e-03,0.000000000000000000e+00
4.000000000000000000e+00,3.000000000000000000e+00,5.725846290588378906e-01,0.000000000000000000e+00,1.966878399252891541e-02,0.000000000000000000e+00,3.462194502353668213e-01,9.695862978696823120e-02,3.738764789886772633e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
