# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
Wavenumber,Endmember_1,Endmember_2,Endmember_3,Endmember_4,Endmember_5,Endmember_6,Endmember_7,Endmember_8
5.405119999999999436e+02,3.174695846835497159e-02,9.227763393102930353e-03,6.721732221239938923e-03,3.174880615056273857e-03,-9.337203376769822455e-03,6.326135925635568286e-03,9.501057087993813877e-03,1.172787476635946818e-02
5.433170000000000073e+02,3.233075946315262794e-02,9.996471305493319706e-03,6.608109602265731242e-03,1.329185742876794543e-02,1.779265339528025847e-03,8.043207374828140882e-03,9.812175315462294545e-03,1.363535552572415696e-02
5.461209999999999809e+02,3.183044722610901822e-02,1.067479851821786542e-02,7.690268111262046555e-03,1.363232217648632782e-02,9.611762787906309030e-03,8.546037773358747952e-03,1.005921671478575592e-02,1.392513502042528641e-02
5.489239999999999782e+02,2.681110520588089047e-02,8.759200962992663014e-03,6.646115674040782573e-03,1.187119493297656564e-02,5.254770741158775599e-03,7.139767009097662716e-03,6.700183784268841022e-03,1.013427321340240259e-02
5.517269999999999754e+02,2.463135689911837012e-02,4.856270174310841140e-03,3.738078179507228239e-03,1.020333610161314186e-02,-3.176695845468895628e-03,4.969074450947426509e-03,-2.750651426619773153e-03,6.746401084514679070e-03
5.545280000000000200e+02,2.200646626852058654e-02,3.442708816434688571e-03,2.435310193263017561e-03,1.863881416598910708e-03,-1.308180093109109939e-02,3.749957903315980987e-03,-6.343316958628070906e-03,3.312288751118788298e-03
5.573289999999999509e+02,2.160959331379625273e-02,4.820119645627768575e-03,3.423267671830711525e-03,-1.465852038772155752e-03,-1.014174773184686740e-02,3.676697424485596451e-03,4.933196245508631589e-04,6.870038860378611424e-03
5.601280000000000427e+02,2.264027732136924403e-02,4.843821834165365145e-03,4.483505474715474004e-03,-3.624890043052386712e-03,-8.235089066960795540e-03,4.132990839759818555e-03,5.605381019983082455e-03,9.975771434976882235e-03
5.629270000000000209e+02,2.328903317070874987e-02,2.912009233850148572e-03,3.211787065366610797e-03,-2.415808741060266294e-03,-7.135202527503407485e-03,4.410857349882926250e-03,4.696304587055620365e-03,7.418986446144519575e-03
5.657250000000000227e+02,2.317163337971356318e-02,1.556530892991793121e-03,2.098045642498883728e-03,-3.698724238387682446e-03,-1.160191380225098629e-02,2.277387468131486774e-03,3.499629455622075419e-03,5.073871419510632592e-03
5.685220000000000482e+02,2.300013778957590849e-02,2.136860310577267004e-03,1.833551279760432589e-03,-3.549742101241226168e-04,-1.226635421665574210e-02,2.310828280362940343e-03,8.281563920303661869e-03,1.228284708363523367e-02
5.713179999999999836e+02,2.646126193539739824e-02,5.158153827384980364e-03,2.633542006192109760e-03,7.364915096663924785e-03,-6.158493349952930476e-03,4.373083526108077074e-03,1.635258852498062965e-02,2.144965229164470105e-02
5.741130000000000564e+02,2.942349009072357802e-02,8.282766205772161897e-03,4.656375008484775306e-03,1.804328411253117506e-02,9.074991343015509360e-03,7.621562180910743112e-03,2.478198113945716263e-02,1.820966024367498895e-02
5.769070000000000391e+02,2.803970271568994796e-02,8.653061063722222029e-03,4.214781418902286900e-03,2.768687048370904388e-02,1.747834873201603925e-02,7.741856411452070416e-03,2.708269120429137103e-02,1.782481044029771144e-02
