# SpectraMap / WITec Raman Pipeline Export
# Timestamp: 2026-07-22T13:23:16.819078
# Scan File: sec_ext_res_cell
# Grid: 40x40 (1600 pixels)
# Processing Parameters:
#   crop_low: 400.0
#   crop_high: 3300.0
#   skip_silent: True
#   glass_method: None
#   cosmic_ray_threshold: 4.5
#   airpls_strength: 1000.0
#   airpls_itermax: 50
#   norm_mode: dual
#   n_endmembers: 8
#   map_interpolation: none
X_pixel,Y_pixel,EM1_Abundance,EM2_Abundance,EM3_Abundance,EM4_Abundance,EM5_Abundance,EM6_Abundance,EM7_Abundance,EM8_Abundance
4.000000000000000000e+00,1.000000000000000000e+00,7.810838222503662109e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.350013405084609985e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,9.282030463218688965e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.314445078372955322e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,8.537299633026123047e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.013152629137039185e-02,7.826523482799530029e-02,0.000000000000000000e+00,4.711034521460533142e-02,1.872642338275909424e-02
7.000000000000000000e+00,1.000000000000000000e+00,5.749163627624511719e-01,0.000000000000000000e+00,8.319403976202011108e-02,0.000000000000000000e+00,3.394630178809165955e-02,0.000000000000000000e+00,3.711571693420410156e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,1.980873346328735352e-01,9.568727016448974609e-02,6.828644126653671265e-02,0.000000000000000000e+00,9.410434961318969727e-02,1.223774403333663940e-01,4.938756823539733887e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,1.496199220418930054e-01,2.678696811199188232e-01,1.602368243038654327e-02,0.000000000000000000e+00,3.546068072319030762e-02,3.125460147857666016e-01,2.807826697826385498e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,8.486638963222503662e-02,5.230740308761596680e-01,3.039804659783840179e-02,0.000000000000000000e+00,8.618292398750782013e-03,2.644635140895843506e-01,1.273109465837478638e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,8.635571599006652832e-02,6.473120450973510742e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.393952161073684692e-01,5.074622109532356262e-02,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.979947745800018311e-02,6.816613674163818359e-01,9.524708986282348633e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.423310637474060059e-01,4.642707854509353638e-02,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,4.446878656744956970e-02,5.819091796875000000e-01,2.395255863666534424e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.520807445049285889e-01,1.039209496229887009e-02,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,1.503326836973428726e-02,6.536030769348144531e-01,1.659073829650878906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.617364138364791870e-01,1.870739832520484924e-02,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,4.629530385136604309e-02,6.926912069320678711e-01,3.963179141283035278e-02,0.000000000000000000e+00,4.284737631678581238e-03,2.189868837594985962e-01,1.460732519626617432e-02,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,5.856144800782203674e-02,6.008780002593994141e-01,9.533900022506713867e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.405963689088821411e-01,3.033367544412612915e-02,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,8.313283324241638184e-02,6.401132941246032715e-01,1.110837310552597046e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.634727567434310913e-01,3.225930407643318176e-02,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,1.182893812656402588e-01,5.788260698318481445e-01,8.096195012331008911e-02,0.000000000000000000e+00,4.396442696452140808e-02,1.820926964282989502e-01,3.884676098823547363e-02,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,9.996226429939270020e-02,5.827615261077880859e-01,9.056418202817440033e-03,0.000000000000000000e+00,7.149726152420043945e-02,2.196291685104370117e-01,5.390143766999244690e-02,0.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,6.150155141949653625e-02,7.404705286026000977e-01,2.953586541116237640e-02,0.000000000000000000e+00,1.411635614931583405e-02,9.562939405441284180e-02,7.690159976482391357e-02,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,3.600567288231104612e-04,8.540622591972351074e-01,2.163681946694850922e-02,0.000000000000000000e+00,3.587425919249653816e-03,7.183513045310974121e-02,4.670724272727966309e-02,0.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.343539237976074219e-01,8.153206855058670044e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.970947116613388062e-02,4.570146650075912476e-02,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.711567640304565430e-01,5.537508055567741394e-02,0.000000000000000000e+00,7.335898932069540024e-03,1.980185955762863159e-01,7.490327209234237671e-02,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,2.054748125374317169e-03,2.957493960857391357e-01,5.648029968142509460e-02,0.000000000000000000e+00,1.238729953765869141e-01,3.617333173751831055e-01,2.014766633510589600e-01,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,8.143760263919830322e-02,1.196251213550567627e-01,6.844492256641387939e-02,0.000000000000000000e+00,1.157607436180114746e-01,3.875975906848907471e-01,2.984487116336822510e-01,0.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00,8.512464910745620728e-02,1.796721965074539185e-01,6.469338387250900269e-02,0.000000000000000000e+00,6.410500407218933105e-02,2.873149812221527100e-01,3.830961287021636963e-01,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00,1.328015625476837158e-01,1.840279996395111084e-01,5.471163988113403320e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.425678879022598267e-01,5.189317464828491211e-01,3.112411871552467346e-02
2.800000000000000000e+01,1.000000000000000000e+00,3.649602532386779785e-01,7.237537205219268799e-02,9.161676466464996338e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.391600131988525391e-01,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,4.484443068504333496e-01,3.408558964729309082e-01,3.709477931261062622e-02,0.000000000000000000e+00,3.096504695713520050e-02,0.000000000000000000e+00,2.083747982978820801e-01,0.000000000000000000e+00
